Number      rtot_com_com         rx_com_com         ry_com_com         rz_com_com          angle_pa1          angle_pa2          angle_pa3       s1_energy_tot       s0s1_energy_exc   s0s1_osc_strength    s1_energy_bind   lifetimes_fluo 
 052           4.014748           1.442113           1.965121           3.190111           5.096867          46.643011          46.412439        1230.652276           3.024723           0.068668           0.660729    3.668319E-08    
 053           3.137059           0.001092           0.000162           3.137059           0.019883          49.589871          49.589862        1230.671015           2.462586           0.030111           1.170648    1.262064E-07    
 054           4.013527           1.445919           1.955950           3.192488           5.188686          46.655632          46.414549        1230.652271           3.023689           0.068829           0.660585    3.662231E-08    
 055           4.014194           1.442451           1.962264           3.191020           5.131955          46.697988          46.465365        1230.652274           3.024095           0.068747           0.660680    3.665576E-08    
 056           4.014778           0.829781           2.240055           3.226772           0.823443           1.979239           1.804110        1230.649950           3.250224           0.000801           0.597422    2.724817E-06    
 057           4.195126           2.828548           0.007943           3.098118           0.058632           0.080478           0.059701        1230.652618           3.019473           0.000000           0.670027    2.689054E-02    
 058           4.017272           2.697717           0.303886           2.961156           5.115466          46.756794          46.525043        1230.652329           3.022884           0.069147           0.662159    3.647321E-08    
 059           4.018366           2.698942           0.298515           2.962071           5.064907          46.718380          46.491895        1230.652332           3.023262           0.069223           0.662255    3.642413E-08    
 060           4.023843           0.709123           2.302109           3.223159           0.024502           0.036715           0.027906        1230.649985           3.273982           0.000000           0.598389    7.962938E-03    
 061           4.015700           2.696370           0.302489           2.960394           5.193494          46.611134          46.366096        1230.652329           3.023072           0.068925           0.662170    3.658623E-08    
 062           4.014444           1.215832           2.171439           3.149980           4.963181          52.505300          52.234199        1230.648735           3.268382           0.062403           0.564366    3.457147E-08    
 063           3.138679           0.005862           0.013345           3.138645           0.095089          50.050120          50.050020        1230.671022           2.466087           0.030837           1.170829    1.228863E-07    
 064           4.195151           2.830684           0.004101           3.096208           0.028435           0.030247           0.012319        1230.652619           3.019864           0.000000           0.670054    4.211760E-01    
 065           4.187592           2.818031           0.003326           3.097517           0.034592           0.035812           0.011390        1230.652622           3.017475           0.000000           0.670138    6.327650E-01    
 066           4.016239           1.441277           1.967735           3.190754           5.128952          46.704192          46.470962        1230.652276           3.024801           0.068848           0.660713    3.658510E-08    
 067           4.014726           1.438672           1.965188           3.191596           5.158398          46.722117          46.486289        1230.652272           3.024188           0.068790           0.660623    3.663094E-08    
 068           4.019373           2.701418           0.304152           2.960607           5.138514          46.550075          46.308799        1230.652328           3.024511           0.069112           0.662142    3.645219E-08    
 069           4.025126           0.759387           2.284721           3.225681           0.311708           0.614316           0.537895        1230.649923           3.261480           0.000083           0.596698    2.604915E-05    
 070           4.190139           2.822149           0.006245           3.097209           0.029156           0.034920           0.020156        1230.652622           3.018260           0.000000           0.670123    1.806959E-01    
 071           3.295895           0.029958           0.039118           3.295527           0.026895           0.172173           0.170348        1230.665662           2.582322           0.000000           1.024963    1.025508E-02    
 072           3.996451           1.432279           1.933819           3.190696           5.061257          46.473726          46.240583        1230.652229           3.021740           0.068183           0.659444    3.701708E-08    
 073           4.016663           1.445702           1.965555           3.190631           5.131957          46.649670          46.415723        1230.652274           3.024548           0.068828           0.660662    3.660201E-08    
 074           4.193887           2.828968           0.015048           3.096030           0.056976           0.059108           0.016155        1230.652621           3.019912           0.000000           0.670122    3.198705E-02    
 075           4.027848           0.726599           2.303277           3.223434           0.005160           0.008098           0.006831        1230.649987           3.270234           0.000000           0.598426    7.836091E-03    
 076           5.350043           3.911448           2.161128           2.941609           0.083639           0.225294           0.233122        1230.643684           3.128695           0.000002           0.426920    1.017419E-03    
 079           4.204346           2.844782           0.006550           3.095755           0.045370           0.171443           0.174435        1230.652615           3.022975           0.000001           0.669943    1.747649E-03    
 080           4.191065           2.822893           0.012360           3.097765           0.013999           0.048512           0.050378        1230.652621           3.019045           0.000000           0.670107    3.511706E-02    
 081           4.021017           0.569476           2.338767           3.220939           0.200174           0.349476           0.306817        1230.649910           3.304922           0.000031           0.596333    6.831777E-05    
 082           4.017823           1.259920           2.137385           3.160236           5.089464          52.983381          52.701255        1230.648718           3.268246           0.064342           0.563911    3.353267E-08    
 083           3.299877           0.019223           0.031088           3.299674           0.070430           1.010617           1.010740        1230.665663           2.590048           0.000013           1.025001    2.691456E-04    
 084           3.136683           0.002954           0.001033           3.136681           0.028820          49.663415          49.663410        1230.671011           2.461212           0.030174           1.170532    1.260817E-07    
 085           4.027287           0.697224           2.312793           3.222407           0.050111           0.113818           0.105100        1230.649978           3.276940           0.000006           0.598201    3.818708E-04    
 087           5.338365           3.902536           2.143143           2.945385           0.033662           0.041156           0.041325        1230.643681           3.132140           0.000000           0.426837    2.973584E-02    
 088           3.947084           1.902543           1.308388           3.201238           1.469178          59.387598          59.385402        1230.648742           3.365126           0.169251           0.564553    1.202415E-08    
 089           5.350466           3.921761           2.143424           2.941599           0.024122           0.024369           0.014466        1230.643693           3.132020           0.000000           0.427161    7.341600E-02    
 090           4.017722           1.257827           2.138269           3.160343           5.125723          53.008027          52.721704        1230.648719           3.268535           0.064453           0.563922    3.346904E-08    
 091           4.013840           1.433579           1.967212           3.191526           5.148455          46.695915          46.460444        1230.652274           3.024840           0.068650           0.660668    3.668970E-08    
 092           3.925658           1.907838           1.261014           3.190734           2.052258          59.930605          59.930279        1230.648711           3.357350           0.158051           0.563721    1.293601E-08    
 094           4.017881           1.263381           2.136325           3.159645           5.049614          53.056506          52.779188        1230.648715           3.268119           0.064451           0.563830    3.347831E-08    
 095           3.949348           0.072538           2.293062           3.214646           1.424073          59.018187          59.018279        1230.648662           3.363837           0.168216           0.562380    1.210747E-08    
 096           4.013533           2.690900           0.303563           2.962323           5.151621          46.535036          46.293615        1230.652336           3.024001           0.068780           0.662340    3.664055E-08    
 097           3.308268           0.064576           0.015781           3.307601           0.032455           0.643859           0.644135        1230.665743           2.609982           0.000006           1.027166    5.814881E-04    
 098           4.008894           2.677083           0.304024           2.968505           5.025864          47.027028          46.808566        1230.652329           3.030332           0.070086           0.662167    3.580758E-08    
 099           4.013600           1.436963           1.962796           3.192422           5.158500          46.690718          46.456299        1230.652279           3.025402           0.068371           0.660790    3.682574E-08    
 100           3.137255           0.000295           0.000341           3.137255           0.044945          49.626090          49.626072        1230.671016           2.462979           0.030156           1.170654    1.259795E-07    
 101           4.136318           2.726941           0.019480           3.110071           0.143407           0.172971           0.096746        1230.652413           3.011252           0.000002           0.664457    1.623982E-03    
 102           4.025161           0.587922           2.343637           3.219260           0.063255           0.167109           0.157025        1230.649929           3.302853           0.000019           0.596852    1.092784E-04    
 103           3.996930           1.417827           1.937448           3.195546           5.196480          46.585328          46.333382        1230.652206           3.029032           0.069032           0.658828    3.638598E-08    
 104           4.207086           2.848506           0.026331           3.095948           0.058747           0.059285           0.009939        1230.652609           3.024466           0.000000           0.669791    8.687490E-02    
 105           4.177714           2.801195           0.009110           3.099438           0.011483           0.025661           0.024302        1230.652614           3.014473           0.000000           0.669930    7.459125E-02    
 106           3.135969           0.002253           0.001289           3.135968           0.014147          49.775235          49.775237        1230.671005           2.458381           0.030231           1.170352    1.261345E-07    
 107           3.131788           0.000980           0.000183           3.131788           0.036212          49.704406          49.704398        1230.670928           2.451371           0.030095           1.168271    1.274301E-07    
 108           4.016421           2.695935           0.304605           2.961551           5.123669          46.761583          46.528207        1230.652330           3.023122           0.069123           0.662204    3.647983E-08    
 109           4.192547           2.825572           0.030051           3.097207           0.019814           0.020217           0.006149        1230.652620           3.019906           0.000000           0.670074    2.526985E+00    
 110           3.135953           0.008262           0.001545           3.135942           0.040670          49.783237          49.783245        1230.671003           2.458404           0.030250           1.170310    1.260558E-07    
 112           3.294850           0.013954           0.005522           3.294816           0.005681           0.007562           0.007660        1230.665654           2.578713           0.000000           1.024767    3.850714E-01    
 113           4.187018           2.815503           0.008915           3.099030           0.013807           0.014294           0.003939        1230.652622           3.017637           0.000000           0.670149    2.300716E-01    
 114           4.016752           1.238691           2.161827           3.150626           4.970032          52.301433          52.028696        1230.648734           3.269445           0.062011           0.564346    3.476752E-08    
 115           4.010659           1.210607           2.159877           3.155114           4.981323          52.415051          52.141521        1230.648705           3.266999           0.062433           0.563553    3.458394E-08    
 116           4.192845           2.823631           0.000900           3.099525           0.075615           0.106428           0.082782        1230.652621           3.019712           0.000000           0.670120    1.175493E-02    
 117           4.018267           2.698646           0.301084           2.961946           5.072988          46.710288          46.482608        1230.652332           3.023276           0.069166           0.662254    3.645394E-08    
 118           3.135746           0.005750           0.002384           3.135740           0.044895          49.661592          49.661582        1230.671003           2.458165           0.030093           1.170298    1.267346E-07    
 119           4.013889           1.444202           1.960651           3.190836           5.118231          46.612172          46.379603        1230.652276           3.024638           0.068599           0.660712    3.672162E-08    
 120           4.185074           2.812182           0.010533           3.099414           0.001711           0.018014           0.017938        1230.652623           3.017138           0.000000           0.670159    4.688193E-02    
 121           4.014996           2.694895           0.302113           2.960822           5.170682          46.693486          46.453450        1230.652328           3.022540           0.069009           0.662150    3.655420E-08    
 122           4.014198           2.692267           0.307463           2.961579           5.165626          46.640951          46.399826        1230.652330           3.023334           0.068850           0.662203    3.661981E-08    
 123           4.017527           2.698043           0.302044           2.961394           5.115077          46.639696          46.405996        1230.652332           3.023294           0.068990           0.662243    3.654637E-08    
 124           4.199706           2.837670           0.000880           3.095991           0.019372           0.118984           0.120136        1230.652617           3.021244           0.000001           0.670011    3.086490E-03    
 125           4.193307           2.827817           0.015284           3.096295           0.047618           0.055243           0.031263        1230.652620           3.019442           0.000000           0.670082    1.011105E-01    
 126           4.013916           1.435196           1.967103           3.190963           5.130517          46.775133          46.543403        1230.652273           3.024155           0.068797           0.660649    3.662810E-08    
 127           9.883706           3.608141           9.201143           0.089076          89.780321          82.342635          29.668000        1230.631247           3.517645           0.794388           0.088488    2.344514E-09    
 128           4.193277           2.826400           0.007842           3.097576           0.018150           0.042972           0.043248        1230.652622           3.019268           0.000000           0.670132    4.012784E-02    
 129           4.016597           2.696600           0.303690           2.961278           5.129955          46.647958          46.412698        1230.652330           3.023225           0.068932           0.662188    3.657880E-08    
 130           4.014713           1.448409           1.954607           3.193672           5.275375          46.587864          46.336329        1230.652259           3.022373           0.068909           0.660264    3.661145E-08    
 131           4.013201           1.441876           1.960026           3.191406           5.137671          46.632097          46.397557        1230.652274           3.024131           0.068564           0.660664    3.675286E-08    
 132           4.015767           2.694279           0.302035           2.962435           5.112564          46.513996          46.276855        1230.652336           3.024159           0.068863           0.662347    3.659292E-08    
 133           4.014705           1.444477           1.963631           3.189904           5.098058          46.751799          46.523507        1230.652274           3.023767           0.068955           0.660673    3.655336E-08    
 134           4.201415           2.843020           0.002267           3.093400           0.066315           0.066776           0.008699        1230.652612           3.021587           0.000000           0.669866    6.310438E-01    
 135           4.014760           1.441585           1.963305           3.191483           5.147903          46.639862          46.404077        1230.652275           3.024450           0.068632           0.660693    3.670875E-08    
 136           4.019608           1.213843           2.188638           3.145425           4.814105          53.371601          53.121712        1230.648740           3.269843           0.064624           0.564503    3.335352E-08    
 137           4.009882           1.215134           2.155455           3.155411           5.012190          52.427647          52.150854        1230.648689           3.266854           0.062557           0.563126    3.451854E-08    
 138           4.012148           1.441224           1.956380           3.192614           5.166503          46.574956          46.334815        1230.652276           3.024545           0.068550           0.660727    3.675039E-08    
 139           4.013829           1.450039           1.954756           3.191730           5.149430          46.526117          46.286269        1230.652275           3.024602           0.068690           0.660691    3.667423E-08    
 140           4.193538           2.824268           0.017287           3.099833           0.100237           0.108583           0.043823        1230.652618           3.019653           0.000000           0.670029    2.660431E-02    
 141           4.017775           2.698552           0.297475           2.961730           5.068410          46.914036          46.688474        1230.652327           3.022422           0.069615           0.662121    3.623911E-08    
 142           3.235563           0.023467           0.010912           3.235460           0.023030          79.044825          79.044822        1230.655840           3.067089           0.124892           0.757713    1.961562E-08    
 143           4.026307           0.720408           2.302422           3.223509           0.041095           0.064150           0.049537        1230.649985           3.271226           0.000002           0.598381    1.154136E-03    
 144           4.192548           2.826072           0.004142           3.096896           0.032869           0.043938           0.031588        1230.652620           3.019247           0.000000           0.670093    3.717779E-02    
 145           4.194515           2.828618           0.029145           3.097100           0.015270           0.093072           0.094009        1230.652618           3.020143           0.000001           0.670041    3.226806E-03    
 146           4.032114           0.715713           2.316270           3.221893           0.090721           0.183583           0.159738        1230.649983           3.272035           0.000010           0.598336    2.051808E-04    
 147           4.189539           2.819770           0.008126           3.098559           0.018219           0.026267           0.020660        1230.652622           3.018306           0.000000           0.670140    1.264833E-01    
